marketplace,category,title,price_min,price_max,currency,unit,supplier_name,supplier_location,url,source_html_snippet
indiamart,Building Construction Material & Equipment,Cement Panel,,,,,,,https://dir.indiamart.com/impcat/cement-panel.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/cement-panel.html""><img alt=""Cement Panel"" class="""" data-src=""http://3.imimg.com/data3/IA/KG/GLADMIN-165460/cement-panel-125x125.jpg"" height=""125"" id=""chid1-4"" loading="""" src=""http://3.imimg.com/data3/IA/KG/GLADMIN-165460/cement-panel-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/cement-panel.html"">Cement Panel</a></div><span class=""f14"">(606)</span></div></div>"
indiamart,Building Construction Material & Equipment,Cladding Panel,,,,,,,https://dir.indiamart.com/impcat/cladding-panel.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/cladding-panel.html""><img alt=""Cladding Panel"" class="""" data-src=""http://3.imimg.com/data3/CT/KC/GLADMIN-88014/cladding-panel-125x125.jpg"" height=""125"" id=""chid1-5"" loading="""" src=""http://3.imimg.com/data3/CT/KC/GLADMIN-88014/cladding-panel-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/cladding-panel.html"">Cladding Panel</a></div><span class=""f14"">(1105)</span></div></div>"
indiamart,Building Construction Material & Equipment,Fascia Panel,,,,,,,https://dir.indiamart.com/impcat/fascia-panel.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/fascia-panel.html""><img alt=""Fascia Panel"" class="""" data-src=""http://3.imimg.com/data3/HB/EH/GLADMIN-55231/fascia-panel-125x125.jpg"" height=""125"" id=""chid1-6"" loading="""" src=""http://3.imimg.com/data3/HB/EH/GLADMIN-55231/fascia-panel-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/fascia-panel.html"">Fascia Panel</a></div><span class=""f14"">(143)</span></div></div>"
indiamart,Building Construction Material & Equipment,Composite Panels,,,,,,,https://dir.indiamart.com/impcat/composite-panels.html,"<div class=""s-dfx liwidth""><div class=""s-fshz s-tilem isbimbg""><div class=""isbimg""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""pmcat-img-lnk img-lnk"" href=""/impcat/composite-panels.html""><img alt=""Composite Panels"" class="""" data-src=""http://3.imimg.com/data3/IW/OU/GLADMIN-25599/composite-panels-125x125.jpg"" height=""125"" id=""GenImg2"" loading="""" src=""http://3.imimg.com/data3/IW/OU/GLADMIN-25599/composite-panels-125x125.jpg"" width=""125""/></a></div><a class=""s-tile hvr-rd elps"" href=""/impcat/composite-panels.html"">Composite Panels</a></div></div><div class=""s-dfx s-fwp s-flx1 s-pl5""><div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/acp-sheets.html""><img alt=""ACP Sheets"" class="""" data-src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/HC/FC/OA/92368/acp-sheets-125x125.jpg"" height=""125"" id=""chid2-1"" loading="""" src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/HC/FC/OA/92368/acp-sheets-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/acp-sheets.html"">ACP Sheets</a></div><span class=""f14"">(7373)</span></div></div><div class=""boxN trck deskitemwid""><div"
indiamart,Building Construction Material & Equipment,ACP Sheets,,,,,,,https://dir.indiamart.com/impcat/acp-sheets.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/acp-sheets.html""><img alt=""ACP Sheets"" class="""" data-src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/HC/FC/OA/92368/acp-sheets-125x125.jpg"" height=""125"" id=""chid2-1"" loading="""" src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/HC/FC/OA/92368/acp-sheets-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/acp-sheets.html"">ACP Sheets</a></div><span class=""f14"">(7373)</span></div></div>"
indiamart,Building Construction Material & Equipment,Aluminum Composite Panels,,,,,,,https://dir.indiamart.com/impcat/aluminium-composite-panels.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/aluminium-composite-panels.html""><img alt=""Aluminum Composite Panels"" class="""" data-src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/KC/NT/KB/92368/aluminum-composite-panels-125x125.jpg"" height=""125"" id=""chid2-2"" loading="""" src=""http://5.imimg.com/data5/GLADMIN/Default/2022/6/KC/NT/KB/92368/aluminum-composite-panels-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/aluminium-composite-panels.html"">Aluminum Composite Panels</a></div><span class=""f14"">(8958)</span></div></div>"
indiamart,Building Construction Material & Equipment,Alabaster Sheet,,,,,,,https://dir.indiamart.com/impcat/alabaster-sheet.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/alabaster-sheet.html""><img alt=""Alabaster Sheet"" class="""" data-src=""http://4.imimg.com/data4/JV/RL/GLADMIN-180939/alabaster-sheet-125x125.jpg"" height=""125"" id=""chid2-3"" loading="""" src=""http://4.imimg.com/data4/JV/RL/GLADMIN-180939/alabaster-sheet-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/alabaster-sheet.html"">Alabaster Sheet</a></div><span class=""f14"">(2293)</span></div></div>"
indiamart,Building Construction Material & Equipment,Aluminum Honeycomb Panel,,,,,,,https://dir.indiamart.com/impcat/aluminum-honeycomb-panel.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/aluminum-honeycomb-panel.html""><img alt=""Aluminum Honeycomb Panel"" class="""" data-src=""http://3.imimg.com/data3/VS/OJ/GLADMIN-21196/aluminum-honeycomb-panel-125x125.jpg"" height=""125"" id=""chid2-4"" loading="""" src=""http://3.imimg.com/data3/VS/OJ/GLADMIN-21196/aluminum-honeycomb-panel-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/aluminum-honeycomb-panel.html"">Aluminum Honeycomb Panel</a></div><span class=""f14"">(96)</span></div></div>"
indiamart,Building Construction Material & Equipment,Honeycomb Panels,,,,,,,https://dir.indiamart.com/impcat/honeycomb-panels.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/honeycomb-panels.html""><img alt=""Honeycomb Panels"" class="""" data-src=""http://3.imimg.com/data3/KV/WC/GLADMIN-29465/honeycomb-panels-125x125.jpg"" height=""125"" id=""chid2-5"" loading="""" src=""http://3.imimg.com/data3/KV/WC/GLADMIN-29465/honeycomb-panels-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/honeycomb-panels.html"">Honeycomb Panels</a></div><span class=""f14"">(195)</span></div></div>"
indiamart,Building Construction Material & Equipment,Partition Panel,,,,,,,https://dir.indiamart.com/impcat/partition-panel.html,"<div class=""boxN trck deskitemwid""><div class=""s-dfx s-alcn s-jcc bImgm""><a class=""img-lnk"" href=""/impcat/partition-panel.html""><img alt=""Partition Panel"" class="""" data-src=""http://5.imimg.com/data5/VC/IT/JC/GLADMIN-68155/partition-panel-125x125.jpg"" height=""125"" id=""chid2-6"" loading="""" src=""http://5.imimg.com/data5/VC/IT/JC/GLADMIN-68155/partition-panel-125x125.jpg"" width=""125""/></a></div><div class=""btxtm""><div class=""s-dfx s-alcn btxtn s-jcc""><a class=""slink"" href=""/impcat/partition-panel.html"">Partition Panel</a></div><span class=""f14"">(244)</span></div></div>"
